Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,50,asymmetric,symmetric,0.5027370628485841
100% Corpus,60,0.01,0.01,0.4463867273422641
100% Corpus,60,0.01,0.31,0.4734972785145259
100% Corpus,60,0.01,0.61,0.5215649762113158
100% Corpus,60,0.01,0.9099999999999999,0.46917391659299956
100% Corpus,60,0.01,symmetric,0.45359457738025805
100% Corpus,60,0.31,0.01,0.34345772323833373
100% Corpus,60,0.31,0.31,0.3561820456547888
100% Corpus,60,0.31,0.61,0.3489629614454717
100% Corpus,60,0.31,0.9099999999999999,0.33856062483217664
100% Corpus,60,0.31,symmetric,0.34775761832577273
100% Corpus,60,0.61,0.01,0.3190652129402695
100% Corpus,60,0.61,0.31,0.3587400976081329
100% Corpus,60,0.61,0.61,0.3452171581425789
100% Corpus,60,0.61,0.9099999999999999,0.33770186348623454
100% Corpus,60,0.61,symmetric,0.3079917006253631
100% Corpus,60,0.9099999999999999,0.01,0.31126371257902297
100% Corpus,60,0.9099999999999999,0.31,0.3575276655953753
100% Corpus,60,0.9099999999999999,0.61,0.308113573629006
100% Corpus,60,0.9099999999999999,0.9099999999999999,0.3476615614695037
100% Corpus,60,0.9099999999999999,symmetric,0.3004304956089094
100% Corpus,60,symmetric,0.01,0.4234179386913987
100% Corpus,60,symmetric,0.31,0.4367895246728463
100% Corpus,60,symmetric,0.61,0.5151813708787542
100% Corpus,60,symmetric,0.9099999999999999,0.4599274687945312
100% Corpus,60,symmetric,symmetric,0.4282189293920961
100% Corpus,60,asymmetric,0.01,0.5221496728618216
100% Corpus,60,asymmetric,0.31,0.5041659006140785
100% Corpus,60,asymmetric,0.61,0.4954779213898411
100% Corpus,60,asymmetric,0.9099999999999999,0.5056458555181013
100% Corpus,60,asymmetric,symmetric,0.5095326303954136
100% Corpus,70,0.01,0.01,0.44280926372161017
100% Corpus,70,0.01,0.31,0.5127405316568427
100% Corpus,70,0.01,0.61,0.5293073955546381
100% Corpus,70,0.01,0.9099999999999999,0.5507805100094312
100% Corpus,70,0.01,symmetric,0.43945526926139594
100% Corpus,70,0.31,0.01,0.34684535559833396
100% Corpus,70,0.31,0.31,0.35950842505091724
100% Corpus,70,0.31,0.61,0.34793425477683493
100% Corpus,70,0.31,0.9099999999999999,0.33828453998992364
100% Corpus,70,0.31,symmetric,0.3493313730693023
100% Corpus,70,0.61,0.01,0.32308435856753037
100% Corpus,70,0.61,0.31,0.36314047592389515
100% Corpus,70,0.61,0.61,0.34779060317918387
100% Corpus,70,0.61,0.9099999999999999,0.30811357362900593
100% Corpus,70,0.61,symmetric,0.31991561330684326
100% Corpus,70,0.9099999999999999,0.01,0.32210135758751085
100% Corpus,70,0.9099999999999999,0.31,0.34941956497787496
100% Corpus,70,0.9099999999999999,0.61,0.34808371721873194
100% Corpus,70,0.9099999999999999,0.9099999999999999,0.34785862485614055
100% Corpus,70,0.9099999999999999,symmetric,0.3223183372220477
100% Corpus,70,symmetric,0.01,0.43565005974951426
100% Corpus,70,symmetric,0.31,0.5022619277297455
100% Corpus,70,symmetric,0.61,0.537955556557302
100% Corpus,70,symmetric,0.9099999999999999,0.544409895970483
100% Corpus,70,symmetric,symmetric,0.43727636604290837
100% Corpus,70,asymmetric,0.01,0.48513178703937104
100% Corpus,70,asymmetric,0.31,0.48274025066534665
100% Corpus,70,asymmetric,0.61,0.4732550390275039
100% Corpus,70,asymmetric,0.9099999999999999,0.46393566642838807
100% Corpus,70,asymmetric,symmetric,0.48542280953862643
100% Corpus,80,0.01,0.01,0.4841496127348185
100% Corpus,80,0.01,0.31,0.5628942759868009
100% Corpus,80,0.01,0.61,0.6136731989342126
100% Corpus,80,0.01,0.9099999999999999,0.5622158269364119
100% Corpus,80,0.01,symmetric,0.4916588032072761
100% Corpus,80,0.31,0.01,0.3327767491461252
100% Corpus,80,0.31,0.31,0.3567002323510816
100% Corpus,80,0.31,0.61,0.34824216958961796
